Artigo,Funexpression
BCIN_06g02960,BCIN_02g05990
BCIN_03g05140,BCIN_02g06140
BCIN_02g07390,BCIN_02g06160
BCIN_15g03980,BCIN_02g06220
BCIN_12g03920,BCIN_02g06330
BCIN_15g03990,BCIN_02g06440
BCIN_12g02080,BCIN_02g06530
BCIN_09g02830,BCIN_02g06550
BCIN_04g03810,BCIN_02g06590
BCIN_14g00080,BCIN_02g06670
BCIN_14g00650,BCIN_02g06700
BCIN_04g01560,BCIN_02g06780
BCIN_02g03570,BCIN_02g06830
BCIN_05g03190,BCIN_02g06910
BCIN_14g02560,BCIN_02g06930
BCIN_12g01520,BCIN_02g06940
BCIN_04g06930,BCIN_02g06970
BCIN_13g02380,BCIN_02g07030
BCIN_14g03750,BCIN_02g07180
BCIN_12g03420,BCIN_02g07220
BCIN_02g00380,BCIN_02g07290
BCIN_05g01160,BCIN_02g07320
BCIN_01g00590,BCIN_02g07400
BCIN_05g05830,BCIN_02g07470
BCIN_14g02000,BCIN_02g07490
BCIN_04g05950,BCIN_02g07500
BCIN_12g01150,BCIN_02g07540
BCIN_02g04600,BCIN_02g07550
BCIN_08g00410,BCIN_02g07620
BCIN_03g08350,BCIN_02g07630
BCIN_08g00950,BCIN_02g07640
BCIN_16g02520,BCIN_02g07680
BCIN_15g04000,BCIN_02g07690
BCIN_05g00300,BCIN_02g07700
BCIN_04g04300,BCIN_02g07720
BCIN_18g00190,BCIN_02g07810
BCIN_06g02300,BCIN_02g07830
BCIN_16g00080,BCIN_02g07900
BCIN_08g07040,BCIN_02g07920
BCIN_02g08880,BCIN_02g07980
BCIN_01g02880,BCIN_02g08050
BCIN_01g05980,BCIN_02g08080
BCIN_08g06570,BCIN_02g08180
BCIN_11g03460,BCIN_02g08280
BCIN_14g03470,BCIN_02g08300
BCIN_03g05390,BCIN_02g08310
BCIN_15g03970,BCIN_02g08320
BCIN_11g04970,BCIN_02g08330
BCIN_01g02100,BCIN_02g08400
BCIN_04g06630,BCIN_02g08510
BCIN_02g07210,BCIN_02g08560
BCIN_11g01020,BCIN_02g08600
BCIN_05g07920,BCIN_02g08630
BCIN_11g03090,BCIN_02g08670
BCIN_02g03000,BCIN_02g08700
BCIN_15g02860,BCIN_02g08760
BCIN_03g00560,BCIN_02g08820
BCIN_01g03520,BCIN_02g08830
BCIN_12g04120,BCIN_02g08840
BCIN_12g00630,BCIN_02g08850
BCIN_07g02510,BCIN_02g08860
BCIN_06g03470,BCIN_02g09140
BCIN_09g03770,BCIN_02g09280
BCIN_07g00310,BCIN_02g09300
BCIN_07g01090,BCIN_02g09380
BCIN_05g01810,BCIN_03g00110
BCIN_06g00580,BCIN_03g00400
BCIN_04g01550,BCIN_03g00450
BCIN_16g02150,BCIN_03g00500
BCIN_12g02330,BCIN_03g00520
BCIN_08g06880,BCIN_03g00580
BCIN_06g01730,BCIN_03g00750
BCIN_16g00870,BCIN_03g00760
BCIN_16g02380,BCIN_03g00780
BCIN_15g02420,BCIN_03g00990
BCIN_08g03890,BCIN_03g01450
BCIN_08g01980,BCIN_03g01600
BCIN_15g00120,BCIN_03g01690
BCIN_05g07630,BCIN_03g01710
BCIN_15g03960,BCIN_03g01720
BCIN_11g01860,BCIN_03g01730
BCIN_02g04620,BCIN_03g01840
BCIN_06g04660,BCIN_03g02160
BCIN_10g04410,BCIN_03g02170
BCIN_11g05700,BCIN_03g02190
BCIN_05g05300,BCIN_03g02250
BCIN_03g00630,BCIN_03g02330
BCIN_03g05900,BCIN_03g02350
BCIN_09g04970,BCIN_03g02460
BCIN_03g05150,BCIN_03g02510
BCIN_14g03980,BCIN_03g02570
BCIN_05g04900,BCIN_03g02580
BCIN_01g02700,BCIN_03g02630
BCIN_08g01610,BCIN_03g02650
BCIN_06g06380,BCIN_03g02660
BCIN_08g04480,BCIN_03g02740
BCIN_13g00490,BCIN_03g02760
BCIN_01g00860,BCIN_03g02770
BCIN_07g05440,BCIN_03g02780
BCIN_16g04110,BCIN_03g02830
BCIN_04g04920,BCIN_03g02870
BCIN_02g02310,BCIN_03g02880
BCIN_12g04480,BCIN_03g02890
BCIN_01g03710,BCIN_03g02900
BCIN_04g01680,BCIN_03g02910
BCIN_07g04860,BCIN_03g03010
BCIN_13g04360,BCIN_03g03030
BCIN_09g06750,BCIN_03g03060
BCIN_05g01390,BCIN_03g03070
BCIN_11g02280,BCIN_03g03090
BCIN_12g00840,BCIN_03g03240
BCIN_02g08370,BCIN_03g03380
BCIN_08g05840,BCIN_03g03420
BCIN_03g07540,BCIN_03g03630
BCIN_02g08920,BCIN_03g03710
BCIN_02g02140,BCIN_03g03720
BCIN_10g04670,BCIN_03g03810
BCIN_09g04150,BCIN_03g03860
BCIN_05g07510,BCIN_03g03940
BCIN_16g04370,BCIN_03g04060
BCIN_10g01070,BCIN_03g04080
BCIN_09g03680,BCIN_03g04100
BCIN_12g01910,BCIN_03g04130
BCIN_11g05080,BCIN_03g04140
BCIN_08g02050,BCIN_03g04240
BCIN_03g03650,BCIN_03g04360
BCIN_07g05550,BCIN_03g04450
BCIN_11g06180,BCIN_03g04470
BCIN_14g02060,BCIN_03g04550
BCIN_11g06240,BCIN_03g04590
BCIN_05g04720,BCIN_03g04610
BCIN_05g00120,BCIN_03g04620
BCIN_01g08370,BCIN_03g04640
BCIN_06g00630,BCIN_03g04670
BCIN_16g03450,BCIN_03g04680
BCIN_09g03980,BCIN_03g04690
BCIN_10g00240,BCIN_03g04750
BCIN_14g01860,BCIN_03g04770
BCIN_15g02320,BCIN_03g04800
BCIN_09g04140,BCIN_03g04890
BCIN_01g03360,BCIN_03g04910
