Artigo,Funexpression
BCIN_06g06640,BCIN_05g05500
BCIN_07g05530,BCIN_05g05550
BCIN_03g06040,BCIN_05g05560
BCIN_14g01590,BCIN_05g05590
BCIN_11g05770,BCIN_05g05690
BCIN_03g06360,BCIN_05g05720
BCIN_01g07110,BCIN_05g05800
BCIN_13g04470,BCIN_05g05830
BCIN_14g02190,BCIN_05g05900
BCIN_01g06450,BCIN_05g05940
BCIN_08g03700,BCIN_05g06060
BCIN_02g07410,BCIN_05g06120
BCIN_02g03510,BCIN_05g06230
BCIN_06g03340,BCIN_05g06320
BCIN_01g06080,BCIN_05g06490
BCIN_16g03150,BCIN_05g06500
BCIN_06g06270,BCIN_05g06590
BCIN_09g01430,BCIN_05g06600
BCIN_07g04590,BCIN_05g06610
BCIN_14g00970,BCIN_05g06820
BCIN_15g03260,BCIN_05g06830
BCIN_01g01040,BCIN_05g06860
BCIN_09g03900,BCIN_05g06870
BCIN_09g00570,BCIN_05g06910
BCIN_02g02100,BCIN_05g06920
BCIN_01g07800,BCIN_05g07070
BCIN_04g03680,BCIN_05g07100
BCIN_05g01010,BCIN_05g07120
BCIN_01g08740,BCIN_05g07280
BCIN_03g03340,BCIN_05g07330
BCIN_14g02160,BCIN_05g07490
BCIN_08g04730,BCIN_05g07500
BCIN_12g01830,BCIN_05g07520
BCIN_05g02780,BCIN_05g07620
BCIN_10g05780,BCIN_05g07630
BCIN_11g04650,BCIN_05g07640
BCIN_04g04160,BCIN_05g07650
BCIN_10g02370,BCIN_05g07660
BCIN_16g04730,BCIN_05g07670
BCIN_10g01280,BCIN_05g07700
BCIN_10g01050,BCIN_05g07840
BCIN_04g00040,BCIN_05g08030
BCIN_01g02400,BCIN_05g08060
BCIN_15g03010,BCIN_05g08110
BCIN_16g04300,BCIN_05g08130
BCIN_02g03300,BCIN_05g08190
BCIN_14g00200,BCIN_05g08230
BCIN_04g05790,BCIN_06g00060
BCIN_14g00260,BCIN_06g00140
BCIN_08g03490,BCIN_06g00150
BCIN_13g02940,BCIN_06g00330
BCIN_10g05250,BCIN_06g00350
BCIN_06g01700,BCIN_06g00360
BCIN_05g00930,BCIN_06g00550
BCIN_01g08230,BCIN_06g00570
BCIN_08g04260,BCIN_06g00580
