index,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BCIN_13g00810,102.23130588947224,-1.032116528806552,0.2506008272222635,-4.118567924323507,3.812342015549009e-05,0.0002469836299644,DOWN
BCIN_13g01020,1494.9205859363235,-1.373250709005431,0.3005970114603996,-4.568411050840874,4.91435541880482e-06,3.846967622133351e-05,DOWN
BCIN_13g01040,459.29081520973415,-0.5826513967920074,0.1771208731877418,-3.2895693562577324,0.001003408241148,0.0044039862953131,DOWN
BCIN_13g01110,200.3323695440337,-1.4667658944588662,0.2289506161138719,-6.4064727990482835,1.4892466390502348e-10,2.488361472843431e-09,DOWN
BCIN_13g01120,350.8501318294929,-1.5212381634102898,0.2297946808377554,-6.619988582261167,3.592266142284317e-11,6.597274863047371e-10,DOWN
BCIN_13g01160,192.1327256097496,-0.6520002367350227,0.2209555543611046,-2.950820759497486,0.0031693077644179,0.011805252201853,DOWN
BCIN_13g01180,190.0825829342655,-0.662975447648068,0.2060899084193581,-3.216923393934578,0.0012957319113933,0.005501780854167,DOWN
BCIN_13g01190,30.75081394075282,-1.0372977396740006,0.3814641182799382,-2.7192537645513952,0.006542939001926,0.0218097966730869,DOWN
BCIN_13g01300,3019.158140000442,-1.040077676482958,0.2062360826431021,-5.043141157228264,4.57951161057039e-07,4.392338111500755e-06,DOWN
BCIN_13g01380,64.37344976996663,-1.0646796622596382,0.2800630119109722,-3.801571849831008,0.0001437810303289,0.0008054788754767,DOWN
BCIN_13g01480,49.799371586640866,-0.7508403467785145,0.3062258355503358,-2.4519170481783052,0.0142097415236213,0.041879673594597,DOWN
BCIN_13g01670,462.3699763386714,-2.0530985590284954,0.3124445751451364,-6.571080832735829,4.9951331472842306e-11,8.895211810340888e-10,DOWN
BCIN_13g01770,33972.57356437158,-2.570703076465317,0.2516014324850023,-10.217362640089714,1.6579019486240387e-24,1.0740763544460032e-22,DOWN
BCIN_13g01780,12.459564321246958,-4.151296831729717,0.8729841358382548,-4.755294697014818,1.9815714478073796e-06,1.6861719974895996e-05,DOWN
BCIN_13g01820,1019.0627541055924,-0.6016368135722764,0.1521632221528842,-3.953891124675245,7.689040822452942e-05,0.0004638562583046,DOWN
BCIN_13g02060,258.378694444818,-0.500139006643684,0.1983562792043038,-2.5214175656549234,0.0116883058372705,0.0356523713580523,DOWN
BCIN_13g02070,1115.2938030685252,-3.210575618175197,0.5805015524351163,-5.530692561815412,3.1896893370203684e-08,3.6731864120976107e-07,DOWN
BCIN_13g02080,4325.558027252735,-3.3604141024281313,0.6479533981644213,-5.186197204841898,2.1463153500277482e-07,2.1856403178681795e-06,DOWN
BCIN_13g02090,125.67619673250832,-0.6948736603339223,0.2447951602215933,-2.83859231410012,0.0045313010128204,0.0159714748649479,DOWN
BCIN_13g02160,513.3505703984973,-0.9990408996835056,0.2358843014776641,-4.235300498698533,2.282462688344635e-05,0.0001552015839595,DOWN
BCIN_13g02170,234.5318169394366,-3.28710790871669,0.3305046371457208,-9.945724021013934,2.6325266393822202e-23,1.5444156284375689e-21,DOWN
BCIN_13g02180,9.507037526047966,-2.868839704799383,0.7674578708384143,-3.738107085494218,0.0001854109767224,0.00100279069314,DOWN
BCIN_13g02210,241.2747234733223,-1.5275629156795818,0.2656404000086209,-5.750491700923533,8.898427198015602e-09,1.117329265291852e-07,DOWN
BCIN_13g02220,15.749112052807362,-2.001072116966908,0.5195835807059419,-3.851299754792317,0.0001174925798428,0.0006724778553608,DOWN
BCIN_13g02230,173.14912555204833,-0.5908292236137509,0.1991900949993486,-2.966157647626419,0.0030154587587978,0.0113604154452034,DOWN
BCIN_13g02250,19.77250622754576,-1.5546752915701598,0.4603162723812741,-3.377406763240475,0.0007317275511843,0.0033595838871768,DOWN
BCIN_13g02310,102.45241320799788,-1.0393473734187335,0.2558731798525718,-4.061962938114817,4.866180403318157e-05,0.0003063971790159,DOWN
BCIN_13g02320,33.71551655187877,-1.226752384294505,0.4506361044884756,-2.7222683049042677,0.0064835479596427,0.0216596856861205,DOWN
BCIN_13g02330,2739.5280728297967,-0.8028048764954347,0.1494379904716023,-5.372160546069385,7.779879286438502e-08,8.443527776443019e-07,DOWN
BCIN_13g02380,1878.2108146714245,-1.1831238307568004,0.1667669088784537,-7.094475988753303,1.298425153159043e-12,2.9297798327691225e-11,DOWN
BCIN_13g02430,7295.892473099597,-0.9697777968332392,0.1862390964874449,-5.207165493839344,1.9174707028766906e-07,1.9696975313597133e-06,DOWN
BCIN_13g02460,475.67220697527137,-0.8987994509589636,0.2447873556732934,-3.67175603693579,0.0002408895806604,0.0012618025653644,DOWN
BCIN_13g02490,3736.781857379211,-0.4278507901405228,0.1391482381460586,-3.0747840996119846,0.0021065498519208,0.0083346445995819,DOWN
BCIN_13g02550,810.4342220844347,-0.4164558131898182,0.1550499316511586,-2.685946448056406,0.0072324679707982,0.0238002062236301,DOWN
BCIN_13g02640,106.54517499761648,-0.7701425379832917,0.2400311406636167,-3.2085109284323283,0.0013342423843115,0.0056403521130225,DOWN
BCIN_13g02770,94.6336917120213,-0.948846942333622,0.2814343338445056,-3.371468325744031,0.0007476863586434,0.0034229394839021,DOWN
BCIN_13g02780,2278.1546886670403,-1.3410544844353358,0.2003291733456061,-6.694254571308793,2.167737654262266e-11,4.0804473491995603e-10,DOWN
BCIN_13g02790,516.0308380345456,-0.6370930310039993,0.1565379914796293,-4.06989399175283,4.703453464792937e-05,0.0002977725934545,DOWN
BCIN_13g02820,275.65806595501857,-2.9049076209357887,0.2678280419231826,-10.846166816874844,2.0796509398624067e-27,1.591385067025146e-25,DOWN
BCIN_13g02900,715.7378359362884,-0.5047043622978655,0.1781458011761469,-2.833097153936422,0.0046099372670976,0.0162107684117719,DOWN
BCIN_13g03070,691.1716510571936,-0.5816121454371804,0.2042614892242386,-2.847390115709406,0.0044079308713199,0.0155931153957252,DOWN
BCIN_13g03100,61.08759599405664,-2.7212886891205543,0.3488788579547764,-7.80009630011258,6.185995112949096e-15,1.8095320884416193e-13,DOWN
BCIN_13g03110,30.82496620496192,-1.3001185137900382,0.519103497068307,-2.5045458586439846,0.0122608709708553,0.0371094289057704,DOWN
BCIN_13g03180,265.01492094895394,-1.0508720660822606,0.2210956167925075,-4.753020803069454,2.0039971934849633e-06,1.7038816717553313e-05,DOWN
BCIN_13g03210,1741.2419958662688,-1.003757279811437,0.193043619064751,-5.199639774028246,1.996751251342104e-07,2.0431873269547113e-06,DOWN
BCIN_13g03220,112.70059527640676,-1.539567689639462,0.2466567577252077,-6.2417413730648486,4.327260268876575e-10,6.574945099185126e-09,DOWN
BCIN_13g03350,514.6694497987302,-0.7892799562719824,0.2443141572226906,-3.2305944331853,0.0012353308924816,0.0052813173378451,DOWN
BCIN_13g03400,70.54295516690286,-1.122853274199599,0.2708305096531613,-4.145963007039271,3.383884610237691e-05,0.000221399141785,DOWN
BCIN_13g03460,164.93345082695964,-1.5024710630037708,0.395399102720458,-3.799884857265339,0.0001447633336952,0.0008084086746812,DOWN
BCIN_13g03470,566.1383853089461,-1.116532414927848,0.2222783499328584,-5.023127152352484,5.083686357498683e-07,4.853863285279032e-06,DOWN
BCIN_13g03510,2706.1478579250615,-0.9344703776700982,0.164573564533082,-5.678131723775443,1.36173837176164e-08,1.6585879130107173e-07,DOWN
BCIN_13g03540,278.5074377702364,-1.3014855758197923,0.2581669216560793,-5.041256127900014,4.624859685132819e-07,4.427789508159798e-06,DOWN
BCIN_13g03630,68.59082531547625,-2.042006502006029,0.3400655541933123,-6.004743723162382,1.916343511581091e-09,2.6627088792495162e-08,DOWN
BCIN_13g03660,1106.498483789106,-2.2907133524164687,0.2663227813336741,-8.601267007445555,7.884082284114069e-18,3.20215034308633e-16,DOWN
BCIN_13g03960,112.46509557595674,-0.6339116338498024,0.2206016337855738,-2.8735582006884344,0.004058762875703,0.0145388520920706,DOWN
BCIN_13g03970,304.9773730877799,-0.5415270234203529,0.1739339184225605,-3.1134066795686732,0.0018494098627707,0.007448315882917,DOWN
BCIN_13g04240,939.7995010406648,-0.5505123707075216,0.2184369588638906,-2.520234549916752,0.0117276657998041,0.0357414576755936,DOWN
BCIN_13g04330,3037.493085399026,-0.5636020528782771,0.1649259882449754,-3.4173028694611896,0.0006324487781523,0.0029643404781572,DOWN
BCIN_13g04340,125.0364390052206,-1.0171760541385848,0.2288879786072077,-4.443990725629806,8.830541270878531e-06,6.566937733836429e-05,DOWN
BCIN_13g04490,571.3722195501526,-0.4787034996114478,0.1661370619556783,-2.8813769424859292,0.0039594181079595,0.0142167477796846,DOWN
BCIN_13g04550,326.66406216186067,-0.4972927745313891,0.1787963803597134,-2.7813358051818797,0.0054135707707786,0.0185187260574741,DOWN
BCIN_13g04640,16317.539543557648,-1.3261239546131265,0.2806197642557761,-4.725696916359768,2.293274801476049e-06,1.9238962673553352e-05,DOWN
BCIN_13g04660,1417.6731472107197,-0.6343431617510235,0.1484319273525417,-4.273630162090332,1.923159310341301e-05,0.000132649002725,DOWN
BCIN_13g04710,397.60923986096645,-0.5444001611430231,0.1806279830159496,-3.013930355934672,0.0025788699776239,0.0098992609828093,DOWN
BCIN_13g04720,437.32441712555914,-0.8015838353901675,0.2149289801301214,-3.729528865325076,0.0001918381300374,0.0010325232687029,DOWN
BCIN_13g04730,1469.4496062545732,-0.7967440536548417,0.2496099813847954,-3.1919559035044816,0.001413129047135,0.005907617869258,DOWN
BCIN_13g04850,465.5537733247308,-0.5798639801598894,0.1932521310352775,-3.000556718590788,0.0026948655971793,0.010303323934183,DOWN
BCIN_13g04860,1706.437942006139,-0.6335311240480207,0.1783913926904506,-3.5513547738670335,0.0003832534317705,0.0019027532860824,DOWN
BCIN_13g05100,2348.7952282066226,-0.9654398334216404,0.2143969624606702,-4.503048095183457,6.698571689185615e-06,5.096319671311246e-05,DOWN
BCIN_13g05110,8544.012216473848,-0.6683743121470229,0.1532962119727431,-4.360018447591277,1.3005147974100226e-05,9.32978006837625e-05,DOWN
BCIN_13g05120,14.552676810524348,-1.7647835348656218,0.5383669967927431,-3.2780306842341895,0.0010453403179794,0.0045633707142881,DOWN
BCIN_13g05230,2081.0314920270025,-0.6396832413083671,0.1711279108642649,-3.7380415507774782,0.0001854593014869,0.00100279069314,DOWN
BCIN_13g05250,2033.8044744269675,-0.863768566742974,0.1640825120624761,-5.264232951370743,1.4077585986758036e-07,1.4747947224222705e-06,DOWN
BCIN_13g05360,476.4317479214257,-1.6357259073290802,0.2533850564227716,-6.455494773140371,1.0786590389663024e-10,1.8491297810850902e-09,DOWN
BCIN_13g05390,1033.000569303785,-0.4914126640281888,0.1899494583601847,-2.5870706253679616,0.009679575004478,0.0304941265057542,DOWN
BCIN_13g05460,1670.7869082717273,-0.4277209576768662,0.1710429787079089,-2.5006636396767137,0.0123960849906742,0.0374221433680732,DOWN
BCIN_13g05530,7292.592915036151,-0.5531517957874346,0.1919930632054057,-2.8811030281632597,0.0039628607944053,0.014224272599905,DOWN
BCIN_13g05610,2637.5847616774886,-0.7062880914255337,0.1598122284698095,-4.419487158074141,9.893539999452124e-06,7.285619413822485e-05,DOWN
BCIN_13g05630,859.2681611844746,-0.8922115591161944,0.1929585087631208,-4.623851857248175,3.766789323947156e-06,3.0248893734511e-05,DOWN
BCIN_13g05800,569.8933291756066,-1.1402859904188132,0.2672156383602256,-4.267287638613526,1.9786397271276656e-05,0.0001361201010975,DOWN
BCIN_13g05850,21.9602231369814,-1.488211395408363,0.493403779212791,-3.016214018025467,0.0025595253280647,0.0098357305183275,DOWN
BCIN_13g05860,94.37165295314831,-1.795280152766953,0.313676056395036,-5.723357317735534,1.0443928383353006e-08,1.3005646666062236e-07,DOWN
BCIN_13g05870,105.18804827192808,-0.9430754209143938,0.2377627830073364,-3.9664551742956937,7.29494876585372e-05,0.000442982512751,DOWN
BCIN_14g00080,218.09606338364935,-0.8918109096236578,0.2340122145710995,-3.810958805112716,0.0001384288363686,0.0007796312064282,DOWN
BCIN_14g00110,526.4245129043304,-0.5515640928337315,0.1815826670092128,-3.0375371279558694,0.0023852001951792,0.0092670760135943,DOWN
BCIN_14g00120,5583.870249219018,-0.4009062989012958,0.1499275397351991,-2.674000384514904,0.0074952365568744,0.0244364612660063,DOWN
BCIN_14g00130,1982.225533001848,-0.4874063145112302,0.1590364082681692,-3.0647467445904537,0.0021785438710902,0.0085681278505449,DOWN
BCIN_14g00140,871.0186922319539,-0.8737825963221463,0.1867102063585626,-4.679886618753524,2.870336073320221e-06,2.3533190166352124e-05,DOWN
BCIN_14g00150,786.6182621278982,-0.8326728418138537,0.1731876694531828,-4.807922206256993,1.5250708605346108e-06,1.326585526132248e-05,DOWN
BCIN_14g00180,3473.826338236224,-0.6139596948993269,0.1637185563356893,-3.7500922842274584,0.0001767695036207,0.0009622092568221,DOWN
BCIN_14g00230,547.6287553635156,-0.5877580589682202,0.1552457962867336,-3.7859837304879504,0.0001531016918016,0.0008482444204749,DOWN
BCIN_14g00290,999.8333116573504,-0.7610674410783813,0.1758153661686642,-4.328787964689444,1.499321970559331e-05,0.0001058344920394,DOWN
BCIN_14g00310,321.15009662021095,-1.395348756638941,0.2207827830321699,-6.320007101439729,2.615512829214061e-10,4.172177564426055e-09,DOWN
BCIN_14g00480,6893.494493923962,-0.7778569330394572,0.1987406129552476,-3.913930431595352,9.080580768933093e-05,0.0005351056524549,DOWN
BCIN_14g00620,83.02222782528965,-1.2186907595562144,0.3300703779899614,-3.692214875438713,0.0002223095116344,0.0011743814121361,DOWN
BCIN_14g00650,10181.364778533827,-1.7373680341284925,0.1585870911366673,-10.955292903577265,6.267527922546614e-28,5.017898550024938e-26,DOWN
BCIN_14g00660,425.42200198186225,-1.7675838825911916,0.2082848133967443,-8.486379077596354,2.1317526721779638e-17,8.14892144798846e-16,DOWN
BCIN_14g00720,563.3163149099602,-0.5525261400980146,0.1841336395401169,-3.0006800575819637,0.0026937743842166,0.0103028821069641,DOWN
BCIN_14g00730,903.4790763743352,-0.3851616507975062,0.1587877027085294,-2.425639040225354,0.0152814608521263,0.0444796655453293,DOWN
BCIN_14g00740,6582.956000264432,-0.5581365343688324,0.1659347784539902,-3.3635898367357053,0.0007693579174673,0.0035034150963582,DOWN
BCIN_14g00860,352.6281940519098,-2.313439163717634,0.2728457205929819,-8.478927793662232,2.2727866831618105e-17,8.633319199348459e-16,DOWN
BCIN_14g00910,245.49958168793657,-0.4994525411996792,0.1863177117032493,-2.680649824613368,0.0073479362970588,0.0240527610963861,DOWN
BCIN_14g01030,13143.502082447809,-0.8447129596278128,0.3309230014080822,-2.5525966948007444,0.0106923225729285,0.0330438766081726,DOWN
BCIN_14g01090,2096.831692295424,-1.2275534721379455,0.195459262614812,-6.280354564506172,3.3780174916253686e-10,5.2458624575829254e-09,DOWN
BCIN_14g01150,1221.9905016638406,-0.9469431568211518,0.1917749979102421,-4.937782125615543,7.901604820369402e-07,7.268375165775339e-06,DOWN
BCIN_14g01380,8068.3151926887085,-0.9494989046432984,0.208468170639243,-4.554646887972259,5.247364782227252e-06,4.095504220274928e-05,DOWN
BCIN_14g01410,534.5167347074736,-1.6320819021135529,0.2713705001277976,-6.014220047296776,1.8075484337587907e-09,2.5214942484138482e-08,DOWN
BCIN_14g01480,1640.938252799452,-0.5581381230176956,0.2270488296632622,-2.458229464760837,0.0139623929661566,0.0413120957474401,DOWN
BCIN_14g01490,4048.204199938456,-0.784710074298799,0.1749727225111227,-4.484756612556658,7.2997208670364116e-06,5.5241813087786114e-05,DOWN
BCIN_14g01510,1343.6016262280768,-0.4523660931026289,0.1738476063068509,-2.6020841052259125,0.0092659125308807,0.0293926213055274,DOWN
BCIN_14g01540,743.548632832412,-1.3855005946377874,0.2246511926737511,-6.167341371073313,6.944772354102477e-10,1.0300111806084576e-08,DOWN
BCIN_14g01610,2569.7876260594094,-0.6383651300430027,0.1950853552176543,-3.2722350139034613,0.0010670084171324,0.0046349686898059,DOWN
BCIN_14g01620,586.9732644806599,-0.5919206824025427,0.2319138264332759,-2.55233028364889,0.010700502756001,0.0330594818909803,DOWN
BCIN_14g01650,454.79676053909634,-0.8998261779765746,0.2203562807654821,-4.083505924363597,4.4361297803013055e-05,0.0002820320919926,DOWN
BCIN_14g01860,709.6534306450726,-0.8927536190757024,0.1807365530803028,-4.939529961485124,7.831111081599998e-07,7.209811074254227e-06,DOWN
BCIN_14g02060,115.52145607856698,-0.8428183061175242,0.2274665131622181,-3.7052412436483206,0.0002111896307515,0.0011218121231069,DOWN
BCIN_14g02070,107247.16931930008,-0.82754294249348,0.177472539522401,-4.6629351488432675,3.117310110895268e-06,2.5419918742126663e-05,DOWN
BCIN_14g02100,3625.552364213028,-0.3918265460952445,0.1604513824416217,-2.442026613499611,0.0146050699113103,0.0428035446265646,DOWN
