Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_11g02910	Uncharacterized	1.03886090906093	5.89316527399513	70.9986004223634	3.5747838872099e-17	3.95986678471243e-16
BCIN_08g05210	Uncharacterized	1.56549671091009	6.26253862219467	70.9940338871639	3.5830675931601e-17	3.96394123063355e-16
BCIN_01g06600	Uncharacterized	-2.29495424036321	4.05029905511587	70.9434502653956	3.67612089891972e-17	4.0616652858796e-16
BCIN_16g02630	Uncharacterized	-1.04956298603995	4.90603493248665	70.8904882349194	3.77614126842838e-17	4.16682665350808e-16
BCIN_07g03000	Uncharacterized	-1.02909293685892	5.4596918319404	70.8666697904489	3.82200619740018e-17	4.21203679142425e-16
BCIN_12g00940	Uncharacterized	-1.11361685625115	6.43093951631224	70.8622015542454	3.83067213240533e-17	4.2161886245029e-16
BCIN_04g04620	Bcama1	-1.59847002998642	2.71412384883522	70.7385711432938	4.07840301431038e-17	4.48311810270363e-16
BCIN_02g00280	Uncharacterized	2.94194905348256	6.70583725962257	70.3731048434957	4.90845811705281e-17	5.38866058845325e-16
BCIN_04g04350	Bcdip5	-1.73323254085873	5.4637480519359	70.2938041792546	5.10979326471907e-17	5.60254657699834e-16
BCIN_10g02140	Uncharacterized	1.42775698878749	9.06744155221182	70.2459013599841	5.23539413533066e-17	5.73295640239071e-16
BCIN_05g06550	Uncharacterized	-1.90059397163719	3.42954938075151	70.1509908608397	5.49344398962403e-17	6.00788721965616e-16
BCIN_12g02140	Uncharacterized	-1.37897708704661	3.75257911993975	70.1288117202941	5.55555783948147e-17	6.06810740157576e-16
BCIN_13g04210	Uncharacterized	-1.55467326665857	2.84727658142079	70.0265500570875	5.8511593754479e-17	6.38288070272244e-16
BCIN_04g03690	Bcvps1	1.0619177362019	7.73370159987308	69.9626339979755	6.04385608221494e-17	6.58474294931949e-16
BCIN_05g02970	Uncharacterized	1.68778186337252	4.66926053255386	69.9260550894938	6.1569786611282e-17	6.69104991620333e-16
BCIN_11g05770	Uncharacterized	-1.16250786809191	6.4117819827607	69.927935816757	6.1511110768313e-17	6.69104991620333e-16
BCIN_05g06430	Uncharacterized	-1.24113604242129	6.28368652112034	69.8835295283274	6.29115696113794e-17	6.82824564495766e-16
BCIN_02g01230	Uncharacterized	-2.7430138402296	4.49886403936393	69.8570539595364	6.37616720728463e-17	6.90967256659535e-16
BCIN_08g02730	Bctgl1	1.22438927503351	6.73617507978011	69.855177721885	6.3822350301421e-17	6.90967256659535e-16
BCIN_09g06710	Uncharacterized	1.45163112540617	5.15349445004736	69.7311842650576	6.79630833546466e-17	7.34872183961612e-16
BCIN_13g05860	Uncharacterized	2.36280631478875	3.23112749490065	69.6482628620802	7.08811362461022e-17	7.65462910502136e-16
BCIN_09g05120	Uncharacterized	-1.38695056777598	7.09938101312994	69.5405755200038	7.4858592428004e-17	8.07403389759186e-16
BCIN_01g08510	Uncharacterized	-1.43179616927133	5.44945249920032	69.5281592725614	7.5331313930544e-17	8.11485130162944e-16
BCIN_02g04940	Uncharacterized	-1.61760010910305	2.28567930871844	69.521493743801	7.55863200888337e-17	8.12844957529836e-16
BCIN_04g05200	Uncharacterized	-3.17591079543929	5.15345686564497	69.5199258619497	7.56464286024629e-17	8.12844957529836e-16
BCIN_02g08920	Uncharacterized	-3.03832020117766	4.97477035584253	69.4206853491107	7.95499820901503e-17	8.53724059663246e-16
BCIN_12g05200	Uncharacterized	2.08337902322102	9.18288741476221	69.3840952805458	8.10395308958906e-17	8.68626702890325e-16
BCIN_12g05810	Uncharacterized	-1.6601085244639	6.96798361824306	69.3308139631866	8.32586047542077e-17	8.91302003879932e-16
BCIN_07g05540	Uncharacterized	-2.38278256037391	8.60414168232734	69.2422666198286	8.70817132221736e-17	9.31071187209004e-16
BCIN_10g03630	Bcclu1	-1.28283509894323	7.11133966910328	69.1183589534184	9.27281495914875e-17	9.90212386518528e-16
BCIN_09g01910	Uncharacterized	1.53718664094798	5.3638363189742	68.9557273771023	1.0069879679326e-16	1.07399571747161e-15
BCIN_05g06280	Uncharacterized	-2.48477020119948	3.03758889777306	68.8923277679184	1.03988582603378e-16	1.1077100624595e-15
BCIN_11g03250	Uncharacterized	2.85629592752485	3.41583225305768	68.8249830963089	1.07600918439021e-16	1.14477268851008e-15
BCIN_04g00850	Uncharacterized	2.15223727069851	5.56354682973252	68.725995709512	1.13139658135095e-16	1.20221362662811e-15
BCIN_08g05580	Uncharacterized	-1.05170960574028	4.99262233491434	68.6241143886121	1.19138325110357e-16	1.26439403726861e-15
BCIN_07g06540	Uncharacterized	-2.14730604224	4.015804661649	68.5500384269569	1.23698666703539e-16	1.31117539940562e-15
BCIN_14g01490	Uncharacterized	-2.46270242778189	6.91468128587919	68.4288339513209	1.31540060486703e-16	1.39257724552159e-15
BCIN_01g01740	Uncharacterized	1.13223234017575	6.0829255184647	68.289024968814	1.4120469988592e-16	1.49305755763896e-15
BCIN_03g01690	Uncharacterized	1.97387615981082	2.91532773469852	68.2710289167716	1.42499260859868e-16	1.50489710211151e-15
BCIN_09g04400	Bccat7	-3.20164999609921	6.96673083905106	68.2660938159446	1.42856341322974e-16	1.50681927667504e-15
BCIN_09g00190	Uncharacterized	1.29532373773821	7.78483494053054	68.1973864006315	1.47921678260212e-16	1.55833768027619e-15
BCIN_08g01860	Uncharacterized	1.99045347214247	2.28845111337944	68.0964248486909	1.55692697296981e-16	1.63819932229232e-15
BCIN_10g06070	Uncharacterized	1.64565286403716	6.02120900727488	68.0792841475402	1.57051997702897e-16	1.65048418098759e-15
BCIN_08g02090	Uncharacterized	1.45137829040058	4.14447749395367	67.9965496830428	1.63781872419498e-16	1.71911045843246e-15
BCIN_14g04870	Bcphb1	-1.22388304516326	7.79025482643737	67.9425656904396	1.68327873192712e-16	1.76467479241129e-15
BCIN_10g00950	Uncharacterized	-1.3549520503632	3.07984384229654	67.9317974383253	1.6924966007512e-16	1.77217983487416e-15
BCIN_03g06290	Bchap5	1.15983153837145	7.10513178048771	67.8714475578753	1.74509994980121e-16	1.82503952222831e-15
BCIN_13g05160	Uncharacterized	1.66144438302115	3.54452188449942	67.7479901833749	1.85786091812225e-16	1.94060787891726e-15
BCIN_13g04700	Uncharacterized	2.30067758897037	5.25989909765684	67.6305168822259	1.97191715620653e-16	2.05724738951147e-15
BCIN_14g00650	Uncharacterized	-2.14205366815561	8.28155880619962	67.5973983042139	2.00532006900156e-16	2.08956293388577e-15
BCIN_10g03450	Uncharacterized	-1.71572655666548	7.46796330972199	67.5715089207475	2.03182543839786e-16	2.1146217107969e-15
BCIN_06g00590	Uncharacterized	1.01965424921403	4.48497496758667	67.5581541415372	2.0456347016232e-16	2.12642244889745e-15
BCIN_10g03690	Uncharacterized	3.56430608612819	2.59297449476229	67.5335970118398	2.07127307945925e-16	2.15047616343857e-15
BCIN_14g03640	Uncharacterized	-1.44284152805194	5.04175362431207	67.4648943724767	2.14472126288881e-16	2.22405010960049e-15
BCIN_02g03080	Uncharacterized	-1.84240605206942	8.6475699764556	67.4395284249454	2.17249309026553e-16	2.24778006720167e-15
BCIN_07g06080	Uncharacterized	2.63782039216312	2.92025659289986	67.4392245581906	2.17282794924107e-16	2.24778006720167e-15
BCIN_09g05260	Bcatg5	1.12048530256133	4.85280877831036	67.4354812515601	2.1769572846181e-16	2.24934830116542e-15
BCIN_03g08100	Bcbrn2	2.68925390692945	10.3774166008445	67.2879727875668	2.34608261161705e-16	2.42119101177313e-15
BCIN_16g04410	Uncharacterized	2.04582490524202	4.58719115244655	67.2622966602238	2.37683688579443e-16	2.44999222467457e-15
BCIN_04g00840	Uncharacterized	1.64110387319662	5.04369027597102	67.1895319834207	2.46620141611647e-16	2.53906645795628e-15
BCIN_12g05770	Uncharacterized	-1.14154601447004	6.79503117958431	67.1392328921455	2.52993262392202e-16	2.60156870897214e-15
BCIN_08g04460	Uncharacterized	1.33055630673707	5.22114820334324	67.0521861508328	2.64414214972776e-16	2.71576748003661e-15
BCIN_05g01770	Uncharacterized	2.42700568096365	3.83633740861323	66.9402425136691	2.79863189980008e-16	2.87101606216679e-15
BCIN_09g01930	Bcpdh1	-1.1622062254488	8.39644388528288	66.7744884685666	3.04412268998773e-16	3.11913857056242e-15
BCIN_10g02650	Uncharacterized	-2.26576905782983	5.2227914742514	66.706154208537	3.15149679277831e-16	3.2253190125378e-15
BCIN_12g00360	Uncharacterized	1.69043178630269	7.43881558228729	66.6001821513534	3.32555392453407e-16	3.399411238535e-15
BCIN_07g02610	Uncharacterized	-1.55440648992694	11.2115333817276	66.4130398652894	3.65675047026346e-16	3.73352921679212e-15
BCIN_06g02280	Uncharacterized	-1.38908616179554	3.29899394946401	66.3807792504637	3.71709083180524e-16	3.79063990395115e-15
BCIN_03g07260	Uncharacterized	-1.00354204125809	7.35751360803142	66.3653675784113	3.74626746684283e-16	3.81587267303151e-15
BCIN_04g06420	Uncharacterized	1.30773836390055	3.65365608836311	66.2800363833983	3.91200810094921e-16	3.97998270979549e-15
BCIN_05g05310	Bctos1	-1.45883056212582	5.37732058275799	66.2001940453445	4.07372456698885e-16	4.13961597970166e-15
BCIN_01g06910	Uncharacterized	-1.50170371067479	6.46883732044553	66.168351961906	4.14006932157761e-16	4.20207271825689e-15
BCIN_05g01160	Uncharacterized	-1.18987271495368	5.42295567286295	66.0797679154877	4.33038091512393e-16	4.39005754257616e-15
BCIN_08g05940	Uncharacterized	-1.36415893179923	4.199909224102	66.0674318250967	4.35756873740805e-16	4.41242283798484e-15
BCIN_02g01490	Uncharacterized	1.02873749758048	4.44563500735628	66.0581222910923	4.37819926012439e-16	4.42810352901182e-15
BCIN_07g01340	Uncharacterized	1.41105171941482	5.76588776182629	66.0224979708784	4.45805145944582e-16	4.50357381589791e-15
