Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_01g06750,Uncharacterized,-0.647392948835431,3.10907815622011,16.9142646378131,3.91065978540639e-05,0.0001926677090612,DOWN
BCIN_12g02600,Uncharacterized,-0.576154559151294,7.06991063248678,16.9151329629206,3.90887132175483e-05,0.0001926677090612,DOWN
BCIN_04g01830,Uncharacterized,-0.664937460592027,4.08917308490803,16.8751777681091,3.99202357136794e-05,0.0001964513829546,DOWN
BCIN_05g03190,Uncharacterized,-1.06853336006773,3.49792160830453,16.8683533106825,4.00640297352008e-05,0.0001968488255045,DOWN
BCIN_15g03570,Uncharacterized,-0.756460845257935,3.65150257481952,16.8337994442253,4.0800125382852e-05,0.0002002090531187,DOWN
BCIN_08g00110,Uncharacterized,-1.11300700853744,8.00945714609842,16.8148654334393,4.12092242032598e-05,0.0002021013063917,DOWN
BCIN_12g05310,Uncharacterized,-0.849143882959349,3.7294682717272,16.8131541859236,4.1246400953493e-05,0.000202168435653,DOWN
BCIN_01g07410,Uncharacterized,-0.723700099966896,6.91753243710901,16.7846921262794,4.18697050686764e-05,0.0002048735369676,DOWN
BCIN_04g00490,Bcadh4,-0.515930056474713,5.19557950244177,16.781630709025,4.19373100282199e-05,0.0002049073581692,DOWN
BCIN_12g04410,Uncharacterized,-0.504679288706376,4.58935435971147,16.7831788068772,4.1903109839632e-05,0.0002049073581692,DOWN
BCIN_04g00600,Bcyfh7,-0.604476403058749,5.2435970883537,16.7704235527865,4.21857340387839e-05,0.0002058348145531,DOWN
BCIN_10g06150,Uncharacterized,-1.09215358813289,3.01624141466839,16.7252011394364,4.32032798492832e-05,0.0002103227543341,DOWN
BCIN_12g04300,Uncharacterized,-0.820719728429221,3.42775079202145,16.6797383269054,4.42511111548156e-05,0.0002151804032257,DOWN
BCIN_04g00210,Uncharacterized,-0.597793298584912,5.76010676764489,16.6780497218749,4.42905186394605e-05,0.000215250420062,DOWN
BCIN_04g03330,Bcpio13,-0.816417372582198,9.57381025914006,16.6604046082689,4.47044246157794e-05,0.0002171393807381,DOWN
BCIN_02g07430,Uncharacterized,-0.541832740773652,5.20092088933129,16.6223432693771,4.56105295874484e-05,0.0002212907712283,DOWN
BCIN_05g00910,Uncharacterized,-0.666176243868412,5.33511755010215,16.6147857737711,4.57926321567062e-05,0.0002220491182945,DOWN
BCIN_08g04470,Uncharacterized,-0.509887019532044,5.68698587355799,16.6123336011411,4.58518757157469e-05,0.0002222112017372,DOWN
BCIN_14g00560,Uncharacterized,-1.25922041904885,3.41901829907304,16.5968927055377,4.62266963216861e-05,0.0002239016180308,DOWN
BCIN_02g02680,Uncharacterized,-0.642554900028944,5.06407136273346,16.510717390332,4.83758573479601e-05,0.0002340477820089,DOWN
BCIN_09g05810,Uncharacterized,-0.641678045098478,4.12378837198425,16.4978896741827,4.87042532076306e-05,0.0002352825934898,DOWN
BCIN_11g03880,Uncharacterized,-1.13813720607,5.17080224658228,16.497545624184,4.87130918553402e-05,0.0002352825934898,DOWN
BCIN_03g01750,Uncharacterized,-0.825366399334395,6.68574228977534,16.4862583692232,4.90039576582808e-05,0.0002362896714648,DOWN
BCIN_01g00350,Uncharacterized,-0.708422688351196,8.27328768423849,16.4782085359108,4.92124632641111e-05,0.0002371621899855,DOWN
BCIN_03g08280,Uncharacterized,-0.784458528531075,2.51134556759791,16.4622463287982,4.96285559385469e-05,0.0002390335651723,DOWN
BCIN_01g01590,Bccpd3,-1.22716162231596,9.70389936599623,16.4421785298857,5.01566936498644e-05,0.000241172437008,DOWN
BCIN_13g03450,Bcmet10,-0.771199493816829,8.12202574136626,16.430375581386,5.04699553864224e-05,0.0002424078716578,DOWN
BCIN_05g05110,Uncharacterized,-0.707680454554452,8.48894097268391,16.4145003969219,5.08944031244169e-05,0.00024431016603,DOWN
BCIN_16g01120,Uncharacterized,-0.820167508582016,3.89954659682142,16.3915525412802,5.15143021311515e-05,0.0002470103612494,DOWN
BCIN_08g00350,Uncharacterized,-0.478556126074283,6.59136399343771,16.3874515292277,5.16258813125513e-05,0.0002474075503658,DOWN
BCIN_14g02060,Uncharacterized,-0.671018641053614,2.25797527085781,16.3713636785109,5.20659466435739e-05,0.000249267862786,DOWN
BCIN_16g04130,Uncharacterized,-0.659692874327799,3.73628866032672,16.371143701988,5.20719899255707e-05,0.000249267862786,DOWN
BCIN_07g05440,Uncharacterized,-0.753035790558554,4.24987390784701,16.3424542403963,5.28662335895721e-05,0.0002527887069474,DOWN
BCIN_04g06880,Uncharacterized,-1.48513396965329,7.08727221097035,16.3337767324225,5.31088542566148e-05,0.0002538078337516,DOWN
BCIN_02g04450,Bcalg9,-0.521129579901888,5.06794788992454,16.3014132749683,5.40236445363149e-05,0.0002577502818869,DOWN
BCIN_09g03890,Uncharacterized,-0.726094047020916,5.51616802944277,16.284710963403,5.45019366667608e-05,0.0002598881822109,DOWN
BCIN_01g00710,Bcaqp7,-0.765412994060331,2.85138024817506,16.2721862885359,5.48633886555193e-05,0.0002613221838174,DOWN
BCIN_14g04610,Uncharacterized,-0.804225786197103,3.69179958740444,16.2385732078636,5.5845396052271e-05,0.0002657055410845,DOWN
BCIN_07g02850,Uncharacterized,-0.938701097674936,4.33173557738348,16.2367715185734,5.58985288077647e-05,0.0002658114019052,DOWN
BCIN_09g01740,Uncharacterized,-0.836041997940658,3.2463098952039,16.2265019305667,5.62023564896662e-05,0.0002671086042554,DOWN
BCIN_02g03260,Bmr5,-0.476442973659894,4.63603476188969,16.2055126043565,5.68285053898896e-05,0.000269340829235,DOWN
BCIN_02g06000,Uncharacterized,-1.62011466190417,7.38000311420147,16.2037780748513,5.68805622514831e-05,0.0002694391850844,DOWN
BCIN_08g03100,Uncharacterized,-0.640022053425084,4.01381401270208,16.178860005778,5.76337205524778e-05,0.0002728566737047,DOWN
BCIN_12g03630,Uncharacterized,-0.648722177072893,5.23574471044231,16.169608398528,5.79159000773928e-05,0.0002740418647422,DOWN
BCIN_09g02570,Uncharacterized,-1.19257120112588,4.2434276914083,16.1382383565311,5.88830890113074e-05,0.0002784652456705,DOWN
BCIN_10g04260,Uncharacterized,-0.890965941353141,4.78214577092901,16.1205901382959,5.94343349862616e-05,0.0002809178040783,DOWN
BCIN_09g05790,Uncharacterized,-0.580630246933681,5.43470006393546,16.1019518056686,6.00221436297118e-05,0.0002835403898029,DOWN
BCIN_10g04070,Uncharacterized,-0.496388359329203,5.21635525498572,16.0744882079187,6.08989522009079e-05,0.0002870521805001,DOWN
BCIN_14g04960,Uncharacterized,-1.00019492579023,2.03237182856024,16.071130117842,6.10070434180036e-05,0.0002874042817179,DOWN
BCIN_16g02410,Bccem1,-0.539917174943661,4.1209224346885,16.0635019897008,6.12532974363223e-05,0.000288406526824,DOWN
BCIN_16g03430,Uncharacterized,-0.592665832906138,6.31051010276106,16.0209309650626,6.26460637443209e-05,0.0002941596675653,DOWN
BCIN_06g07020,Uncharacterized,-0.9296879988427,3.74668259299263,15.9993599178114,6.33639028937257e-05,0.0002972060556982,DOWN
BCIN_03g08610,Bcisc1,-0.512327533181602,5.55524735670629,15.9796414944613,6.40273263739514e-05,0.0003001542473314,DOWN
BCIN_05g01950,Uncharacterized,-0.710658012718125,2.71046385322134,15.9776884347089,6.40934158576839e-05,0.0003003005064164,DOWN
BCIN_15g04470,Uncharacterized,-0.500657035873246,5.93384904524712,15.9655529771719,6.45056074361821e-05,0.0003020673358015,DOWN
BCIN_08g04130,Uncharacterized,-0.578485620669763,5.77954869967217,15.9598407531528,6.47005500339551e-05,0.0003026508881207,DOWN
BCIN_08g05430,Uncharacterized,-0.55603683907521,5.74543939164209,15.9157249101755,6.62262008305356e-05,0.0003092831853219,DOWN
BCIN_01g06910,Uncharacterized,-0.701350467995896,6.46883732044553,15.8975641308845,6.68647185963304e-05,0.0003117576559905,DOWN
BCIN_04g01190,Uncharacterized,-0.620228813338863,5.53005587739668,15.8910415709567,6.70955546334435e-05,0.0003124953672781,DOWN
BCIN_01g09450,Bclgd1,-0.900256422956242,7.45174180734985,15.839016709148,6.89656648052245e-05,0.0003206847525546,DOWN
BCIN_12g04540,Uncharacterized,-0.699896414908209,4.41510215630539,15.8334451860099,6.91690242715274e-05,0.0003214566910934,DOWN
BCIN_06g06660,Uncharacterized,-0.828762822038823,2.88188697557079,15.8302717319994,6.9285124211139e-05,0.0003218224846655,DOWN
